command,subcommand,total,value_position,statement_position,repo_breadth,dominant_arity,dominant_arity_count,all_args_literal,some_args_substituted,in_registry
set,,101221,606,100615,21,2,100922,29328,71893,true
if,,50068,8,50060,21,2,36819,49961,107,true
return,,27889,1,27888,21,1,19058,14098,13791,true
proc,,20743,0,20743,21,3,20732,20593,150,true
list,,15126,14981,145,20,2,5073,5236,9890,true
variable,,14940,1,14939,20,1,11287,13106,1834,true
expr,,13036,12784,252,20,1,12140,11901,1135,true
lappend,,12102,14,12088,20,2,9334,3631,8471,true
foreach,,11302,1,11301,20,3,10891,1234,10068,true
puts,,10144,1,10143,19,2,5359,1758,8386,true
lindex,,8464,8420,44,20,2,8265,2,8462,true
incr,,6202,578,5624,21,1,4524,5402,800,true
file,join,4154,4150,4,20,3,3139,34,4120,true
upvar,,3907,0,3907,10,2,1782,707,3200,true
append,,3616,65,3551,18,2,2865,1011,2605,true
package,require,3462,10,3452,21,2,2354,3404,58,true
file,dirname,2849,2847,2,21,2,2849,0,2849,true
bind,,2608,57,2551,6,3,2551,1624,984,true
dict,set,2416,3,2413,13,4,2057,888,1528,true
catch,,2293,596,1697,18,1,1690,2245,48,true
switch,,2172,18,2154,12,4,915,0,2172,true
split,,2034,2024,10,15,2,1951,1,2033,true
dict,get,1980,1979,1,19,3,1828,0,1980,true
namespace,eval,1916,9,1907,19,3,1913,1819,97,true
break,,1820,0,1820,17,0,1820,1820,0,true
array,set,1817,0,1817,9,3,1816,884,933,true
error,,1778,0,1778,17,1,1697,714,1064,true
for,,1754,0,1754,20,4,1753,1753,1,true
info,script,1754,1752,2,21,1,1752,1752,2,true
continue,,1658,0,1658,14,0,1658,1658,0,true
lassign,,1547,57,1490,16,3,783,20,1527,true
string,range,1473,1467,6,12,4,1470,0,1473,true
format,,1409,1265,144,13,2,871,207,1202,true
lrange,,1404,1402,2,13,3,1404,2,1402,true
while,,1387,0,1387,16,2,1387,1386,1,true
llength,,1349,1344,5,17,1,1349,0,1349,true
unset,,1347,13,1334,11,1,1130,856,491,true
join,,1345,1333,12,17,2,1286,28,1317,true
string,map,1281,1256,25,17,3,1273,3,1278,true
file,tail,1198,1197,1,13,2,1198,0,1198,true
file,normalize,1150,1147,3,20,2,1150,0,1150,true
image,create,1063,795,268,6,6,674,638,425,true
global,,1056,0,1056,15,1,787,1050,6,true
close,,1015,15,1000,15,1,1002,1,1014,true
lsort,,1005,998,7,11,2,435,2,1003,true
source,,1003,4,999,17,1,964,18,985,true
eval,,970,471,499,9,1,546,5,965,true
string,trim,948,942,6,14,2,707,0,948,true
namespace,export,942,1,941,14,2,520,926,16,true
regsub,,920,313,607,14,4,371,0,920,true
linsert,,915,911,4,11,3,608,0,915,true
pack,<dynamic>,896,0,896,5,5,352,0,896,true
uplevel,,872,383,489,15,2,612,81,791,true
package,provide,779,16,763,19,3,763,720,59,true
package,ifneeded,744,7,737,14,4,737,5,739,true
lreplace,,678,678,0,10,3,373,0,678,true
array,names,674,672,2,8,2,535,572,102,true
open,,668,662,6,15,2,569,38,630,true
concat,,642,641,1,11,2,440,5,637,true
grid,<dynamic>,608,0,608,6,7,161,0,608,true
string,length,556,556,0,9,2,556,1,555,true
namespace,upvar,539,0,539,4,4,356,436,103,true
interp,alias,527,5,522,8,5,232,246,281,true
pwd,,521,521,0,7,0,521,521,0,true
array,get,514,509,5,7,2,480,477,37,true
namespace,import,487,0,487,15,2,430,473,14,true
destroy,,477,0,477,6,1,467,200,277,true
dict,create,470,470,0,16,1,165,245,225,true
read,,468,465,3,14,1,280,3,465,true
lsearch,,455,454,1,9,3,271,0,455,true
option,add,438,0,438,4,3,246,222,216,true
