georgtree/SpiceGenTcl	e8aa45cee705	64M
georgtree/tclopt	ff9a56074272	33M
georgtree/ruff	b63da69eed62	720K
georgtree/argparse	139d695c9012	2.4M
georgtree/tcl_tools	6be5470f73d8	1.9M
georgtree/tclinterp	ccd894bbcf75	2.2M
georgtree/tclmeasure	648b0ccf18de	1.7M
georgtree/extexpr	1d53317eb9a7	1.3M
nico-robert/ticklecharts	b49f014cb6c2	79M
nico-robert/tomato	1a41d9b36822	1.9M
nico-robert/pix	a859536d06ef	13M
nico-robert/zesty	7cc87f3f21b4	3.5M
nico-robert/haru	1d3f44abb568	6.4M
nico-robert/implottk	505b824ac966	584K
tcltk/tcllib	6093f8d62465	106M
tcltk/tklib	627bfe1e8dcc	32M
tcltk/tk	d2311aed9c6a	28M
aplsimple/pave	875de1f1539d	1.4M
aplsimple/alited	a1fae46fb7a7	8.8M
Xilinx/XilinxTclStore	f1e8fe54482b	41M
OSVVM/OSVVM-Scripts	60a2751c1d20	7.7M
